Sample_ID,Completeness,Contamination,WGS_5S,WGS_16S,WGS_23S,WGS_tRNA,Quality_Classification
AB-747_F10,73.82,1.54,0,0,0,20,Medium
AB-747_F14,44.97,0.13,0,0,0,9,Low
AB-747_F18,35.83,0,1,0,1,9,Low
AB-747_F21,37.45,0.13,1,1,1,8,Low
AB-747_G06,16.87,1.38,0,0,0,10,Low
AB-747_G08,53.58,3.89,1,0,0,21,Medium
AB-747_G16,39.92,1.21,0,0,0,14,Low
AB-747_G23,42.54,4.06,0,0,0,23,Low
AB-747_I02,37.94,1.18,1,1,1,12,Low
AB-747_I03,73.22,3.79,0,1,1,22,Medium
AB-747_I05,74.85,1.49,1,1,1,27,Medium
AB-747_I06,42.47,3.83,1,1,1,11,Low
AB-747_I07,54.66,3.12,1,1,1,17,Medium
AB-747_I08,52.42,0.46,1,2,2,27,Medium
AB-747_I15,60.52,4.37,0,1,1,23,Medium
AB-747_I21,30.36,0.33,1,1,1,12,Low
AB-747_I23,87.71,4.06,1,1,1,33,Medium
AB-747_J10,50.72,1.88,1,2,1,10,Medium
AB-747_J15,35.09,3.51,1,1,1,14,Low
AB-747_J19,15.12,0.8,0,1,0,4,Low
AB-747_K03,82.53,0.86,1,1,1,27,Medium
AB-747_K05,33.07,0.8,0,0,0,11,Low
AB-747_K09,82.67,3.48,0,0,0,29,Medium
AB-747_K13,10.34,0,0,0,0,7,Low
AB-747_K21,12.3,0.37,0,0,0,12,Low
AB-747_L02,44.23,2.56,0,0,0,21,Low
AB-747_L16,37.14,3.16,0,1,1,10,Low
AB-747_L19,17.74,0,0,1,0,4,Low
AB-747_M02,65.07,2.38,1,0,1,22,Medium
AB-747_M09,56.5,0,0,0,0,16,Medium
AB-747_M21,44.68,4.7,1,1,1,20,Low
AB-747_M23,36.76,3.23,1,0,1,14,Low
AB-747_N04,56.74,2.32,1,1,1,19,Medium
AB-747_N07,38.54,2.4,1,0,0,18,Low
AB-747_N09_M13F,33.61,0,0,0,1,13,Low
AB-747_N09_M13R,33.43,0,0,0,1,14,Low
AB-747_N20,43.82,1.32,1,0,1,12,Low
AB-747_N22,43.4,1.89,0,0,0,9,Low
AB-747_O03,25.63,0.16,0,0,0,11,Low
AB-747_O05,27.64,0,1,1,1,14,Low
AB-747_O11,15.15,0,0,0,0,5,Low
AB-747_O20,79.94,2.27,1,1,1,37,Medium
AB-747_O23,68.29,1.44,1,1,1,20,Medium
AB-747_P06,50.61,0.85,1,1,1,18,Medium
AB-747_P08,45.33,1.94,0,1,1,12,Low
AB-747_P13,24.14,0,0,0,0,13,Low
AB-747_P16,33.98,2.75,0,1,1,9,Low
AB-750_A02,43.1,1.72,1,1,1,18,Low
AB-750_A03,56.4,3.97,1,1,1,20,Medium
AB-750_A09,36.7,0.83,0,0,0,12,Low
AB-750_A23,40.15,0.86,1,2,1,15,Low
AB-750_B07,22.76,1.88,1,1,1,4,Low
AB-750_B19,33.43,3.45,0,0,0,15,Low
AB-750_C02,52.42,0.17,1,1,1,22,Medium
AB-750_C04,54.59,1.48,1,1,1,18,Medium
AB-750_C07,32.6,1.87,1,1,1,14,Low
AB-750_C09,44.34,3.4,0,1,1,17,Low
AB-750_C10,41.01,2.24,1,1,1,10,Low
AB-750_C14,59.96,0.13,1,1,1,18,Medium
AB-750_C15,19.86,0.81,1,1,1,9,Low
AB-750_C16,43.71,1.71,1,1,1,11,Low
AB-750_C21,42.76,2.23,1,1,1,13,Low
AB-750_C22,57.24,0.83,1,1,1,20,Medium
AB-750_D04,59.86,2.85,1,2,1,17,Medium
AB-750_D08,34.57,0.91,1,1,2,9,Low
AB-750_E02,69.74,1.99,0,0,1,25,Medium
AB-750_E14,70.93,4.27,1,1,1,27,Medium
AB-750_E20,49.46,1.54,1,1,1,20,Low
AB-750_E23,47.44,2.01,1,1,1,27,Low
AB-750_F03,60.03,2.2,0,0,0,27,Medium
AB-750_F08,67.09,1.55,1,1,1,27,Medium
AB-750_F09,66.74,4.14,1,1,1,25,Medium
AB-750_F19,19.82,1.41,1,1,1,11,Low
AB-750_F20,58.3,1.49,1,1,1,20,Medium
AB-750_F22,26.56,1.02,1,1,1,10,Low
AB-750_G15,52.1,1.2,1,1,1,13,Medium
AB-750_G16,27.14,0.7,1,0,2,17,Low
AB-750_I05,75.76,2.42,1,1,1,24,Medium
AB-750_I07,53.46,0.8,1,1,1,25,Medium
AB-750_I11,70.18,2.64,1,1,1,16,Medium
AB-750_I13,67.66,2.23,1,1,1,22,Medium
AB-750_I15,81.5,3.31,1,1,1,25,Medium
AB-750_I16,22.75,0,1,1,1,23,Low
AB-750_I17,43.83,3.22,1,1,1,20,Low
AB-750_I18,0.65,0,0,0,0,0,Low
AB-750_J11,23.09,0.76,1,1,1,7,Low
AB-750_K03,51.73,1.38,1,1,1,14,Medium
AB-750_K04,42.53,1.88,0,0,0,11,Low
AB-750_K18,50.65,0.77,0,0,0,17,Medium
AB-750_K23,58.8,1.09,1,1,1,21,Medium
AB-750_L04,39.81,0.33,1,1,1,10,Low
AB-750_L07,78.8,0.66,1,1,1,23,Medium
AB-750_L13,59.34,1.1,1,1,1,35,Medium
AB-750_L22,50.57,0.71,0,1,1,19,Medium
AB-750_L23,72.64,0.96,1,0,1,26,Medium
AB-750_M03,44.97,1.06,2,1,3,17,Low
AB-750_M07,13.79,0,1,1,1,10,Low
AB-750_M13,73.8,1.65,1,0,0,25,Medium
AB-750_M18,57.11,0,1,1,1,18,Medium
AB-750_M21,39.83,2.32,0,0,0,12,Low
AB-750_M23,40.58,1.21,1,1,1,15,Low
AB-750_N05,65.24,2.86,1,1,1,24,Medium
AB-750_N15,52.75,2.65,1,1,1,18,Medium
AB-750_N20,57.47,0.93,1,1,1,23,Medium
AB-750_N23,38.52,1.7,0,0,1,5,Low
AB-750_O02,30.47,2.76,1,1,1,6,Low
AB-750_O05,45.5,0,1,0,1,10,Low
AB-750_O07,33.85,0.99,0,0,0,12,Low
AB-750_O17,79.2,1.34,1,1,1,22,Medium
AB-750_O18,41.21,1.32,1,1,1,14,Low
AB-750_O19,34.47,0,0,0,0,17,Low
AB-750_O20,18.1,0.81,1,1,1,4,Low
AB-750_P07,59.71,0,1,1,1,32,Medium
AB-750_P14,44.87,1.37,1,1,1,20,Low
AB-750_P17,43.26,2.93,2,1,2,9,Low
AB-750_P19,34.59,1.69,1,1,1,14,Low
AB-750_P20,35,3.62,1,1,1,21,Low
AB-750_P21,82.93,2.43,1,1,2,28,Medium
AB-750_P22,58.74,1.01,1,0,1,17,Medium
AB-750_P23,46.85,1.28,1,1,1,15,Low
AB-751_A17,44.8,1.37,0,0,0,12,Low
AB-751_A22,63.89,1.02,1,1,1,18,Medium
AB-751_B10,43.48,0.99,0,0,2,12,Low
AB-751_B23,82.98,0,1,1,1,33,Medium
AB-751_C05,33.85,0.16,0,0,0,14,Low
AB-751_C07,32.97,0,0,0,0,2,Low
AB-751_C09,62.31,0.66,1,1,1,27,Medium
AB-751_C10,87.6,0,1,1,1,27,Medium
AB-751_D09,23.21,0,1,1,1,6,Low
AB-751_D15,45.61,4.62,1,1,1,18,Low
AB-751_D23,65.26,0,1,1,1,33,Medium
AB-751_E20,61.34,1.9,1,1,1,18,Medium
AB-751_E22,40.39,1.02,1,2,1,18,Low
AB-751_E23,20.13,0,0,0,1,11,Low
AB-751_F22,63.67,0.42,1,1,1,24,Medium
AB-751_G10,50.73,1.66,1,1,1,20,Medium
AB-751_G13,81.42,1.36,1,1,1,25,Medium
AB-751_G19,35.96,0.61,1,1,1,12,Low
AB-751_I04,68.64,1.42,1,1,1,21,Medium
AB-751_I06,51.24,0.66,0,1,1,15,Medium
AB-751_I11,58.17,1.99,1,1,1,18,Medium
AB-751_I17,18.63,1.99,0,0,0,11,Low
AB-751_J08,48.61,1.41,1,1,1,16,Low
AB-751_J11,22.52,1.37,1,0,0,14,Low
AB-751_J13,66.12,4.78,1,1,1,21,Medium
AB-751_K03,59.79,4.37,1,1,1,14,Medium
AB-751_K06,19.59,0,0,0,0,9,Low
AB-751_K10,39.2,1.95,1,1,1,12,Low
AB-751_K14,52.43,1.88,0,1,1,11,Medium
AB-751_L06,47.09,0.83,1,0,1,14,Low
AB-751_L09,49.07,1.32,0,0,0,17,Low
AB-751_L18,3.57,0,0,0,0,2,Low
AB-751_M07,0,0,0,0,0,0,Low
AB-751_M11,40.64,0.71,0,1,0,14,Low
AB-751_M22,2.07,0,0,0,0,0,Low
AB-751_N14,40.61,2.7,0,0,2,14,Low
AB-751_O11,63.04,0.66,1,1,1,25,Medium
AB-751_O20,17.86,0.89,1,1,1,12,Low
AB-751_P07,2.27,0,0,0,0,0,Low
AB-751_P14,63.2,3.26,1,1,1,21,Medium
AB-751_P20,84.65,2.91,1,1,1,33,Medium
AB-751_P21,21.14,1.36,1,1,1,10,Low
AB-751_P22,41.57,0.66,0,0,0,14,Low
AB-754_A03,61.3,0.9,1,1,1,17,Medium
AB-754_A07,73.51,2.37,1,1,1,24,Medium
AB-754_A10,55.76,1.14,0,1,1,18,Medium
AB-754_A14,78.12,1.71,1,1,1,19,Medium
AB-754_B02,47.53,2.66,1,1,1,18,Low
AB-754_B15,30.06,0.66,0,0,0,8,Low
AB-754_B20,75.16,1.63,1,1,1,17,Medium
AB-754_B23,42.24,1.72,1,1,1,10,Low
AB-754_C18,0.89,0,0,0,0,1,Low
AB-754_C22_AB-905,51.06,2.47,0,0,0,15,Medium
AB-754_C22_AB-908,53.76,0,0,0,0,17,Medium
AB-754_D02_AB-905,57.35,0.61,0,0,1,15,Medium
AB-754_D02_AB-908,51.69,0.47,0,0,0,11,Medium
AB-754_D23_AB-905,52.17,2.48,1,1,1,21,Medium
AB-754_D23_AB-908,42.24,0.34,1,1,1,14,Low
AB-754_E20_AB-905,25.17,3.6,0,1,0,8,Low
AB-754_E20_AB-908,9.09,0,1,1,1,5,Low
AB-754_G03_AB-905,59.69,1.02,1,1,1,14,Medium
AB-754_G03_AB-908,49.62,2.24,1,1,1,14,Low
AB-754_G05_AB-905,17.52,0,0,0,0,4,Low
AB-754_G05_AB-908,16.42,0,0,0,0,4,Low
AB-754_I02,33.08,2.74,1,1,1,12,Low
AB-754_I04,35.84,0,1,0,1,11,Low
AB-754_I13,41.23,3.67,1,1,1,16,Low
AB-754_I18,40.26,1.32,1,1,1,11,Low
AB-754_I19,24.96,0.18,1,1,1,15,Low
AB-754_I23,40.87,1.49,1,1,1,10,Low
AB-754_J03,37.59,0.21,1,1,1,8,Low
AB-754_J07,58.91,3.74,1,1,2,19,Medium
AB-754_J16,0.16,0,0,0,0,4,Low
AB-754_K10,79.34,0.61,1,1,1,24,Medium
AB-754_L09,21.59,2.5,0,0,1,7,Low
AB-754_L16,56.92,1.08,1,1,1,16,Medium
AB-754_L23,55.99,2.56,1,1,1,14,Medium
AB-754_M02,15.48,0.93,0,1,1,3,Low
AB-754_M06,50.31,1.06,1,1,1,13,Medium
AB-754_N18,73.51,2.7,1,2,1,16,Medium
AB-754_N19,59.37,1.55,1,1,1,24,Medium
AB-754_N20,70.01,1.63,1,2,1,19,Medium
AB-754_O08,61.37,1.99,0,0,0,18,Medium
AB-754_O11,3.51,0,0,0,0,1,Low
AB-754_O20,22.66,0,1,1,2,23,Low
AB-754_P07,30.4,0.89,1,0,0,6,Low
AB-754_P11,66.66,0.54,1,1,1,25,Medium
AB-754_P15,76.82,0.99,1,1,1,13,Medium
AB-754_P16,64.08,3.44,1,1,1,20,Medium
AB-754_P20,81.9,4.55,1,1,1,18,Medium
AB-755_A02,13.79,0,0,0,0,1,Low
AB-755_A05,65.1,1.66,0,0,0,23,Medium
AB-755_A07,42.02,1.69,1,1,1,11,Low
AB-755_A09,47.42,2.64,1,1,1,16,Low
AB-755_A13,60.27,0.97,1,0,0,26,Medium
AB-755_A21,68.25,2.89,1,1,1,19,Medium
AB-755_A22,0,0,0,0,0,0,Low
AB-755_A23,42.04,2.15,1,1,1,19,Low
AB-755_B10,63.13,0.99,0,0,0,21,Medium
AB-755_C02,44.72,4.76,0,0,0,6,Low
AB-755_C04,51.56,2.7,1,0,1,16,Medium
AB-755_C06,61.66,2.24,1,1,1,21,Medium
AB-755_C07,28.21,0,1,1,1,9,Low
AB-755_C08,70.05,1.02,1,1,1,25,Medium
AB-755_C13,57.65,3.52,0,0,0,19,Medium
AB-755_C14,63.75,1.77,1,1,1,19,Medium
AB-755_C21,53.59,1.37,1,1,1,22,Medium
AB-755_D02,38.39,0.89,1,0,0,10,Low
AB-755_D05,35.99,0.66,1,1,1,14,Low
AB-755_D07,50.79,1.34,1,0,0,6,Medium
AB-755_D19,39.37,0,1,1,1,12,Low
AB-755_D23,51.13,1.5,1,1,1,20,Medium
AB-755_E03,75.07,1.63,1,1,1,26,Medium
AB-755_E11,26.18,0,0,0,0,13,Low
AB-755_E16,33.7,1.1,0,0,0,15,Low
AB-755_E18,49.38,1.42,1,1,1,13,Low
AB-755_E19,54.2,2.21,1,1,1,17,Medium
AB-755_E20,69.69,0.83,1,1,1,32,Medium
AB-755_E23,48.69,1.03,1,1,1,19,Low
AB-755_F03,47.02,1.45,1,0,1,12,Low
AB-755_F05,33.39,2.59,0,0,0,17,Low
AB-755_G02,39.4,1.06,1,1,1,11,Low
AB-755_G05,57.72,1.87,1,1,1,16,Medium
AB-755_G09,34.18,0.41,1,1,1,15,Low
AB-755_G23,31.09,2.11,1,0,1,7,Low
AB-755_I02,16.78,0,1,0,1,22,Low
AB-755_I07,31.3,2.48,1,0,1,17,Low
AB-755_I23,25.85,1.53,0,0,0,10,Low
AB-755_J21,41.65,0.95,1,1,1,7,Low
AB-755_K04,1.75,0,0,0,0,0,Low
AB-755_K17,41.05,0.66,1,1,1,15,Low
AB-755_K22,29.73,2.1,0,0,0,8,Low
AB-755_L03,71.93,2.04,0,1,1,28,Medium
AB-755_L08,26.97,0.91,1,1,1,10,Low
AB-755_L19,8.33,0,0,0,0,0,Low
AB-755_M02,53.72,0.2,0,0,0,19,Medium
AB-755_M06,47.52,2.51,0,1,1,8,Low
AB-755_M08,8.33,0,0,0,0,4,Low
AB-755_M10,36.74,1.22,1,1,1,3,Low
AB-755_M20,16.96,0,0,0,0,11,Low
AB-755_M21,23.18,0,0,0,0,14,Low
AB-755_M23,48.56,2.41,1,1,1,9,Low
AB-755_N03,65.77,1.47,1,1,1,9,Medium
AB-755_N04,21.84,2.56,1,1,1,2,Low
AB-755_N05,31.8,0,1,1,1,5,Low
AB-755_N17,36.44,1.26,1,1,1,9,Low
AB-755_O11,26.37,0,1,1,1,10,Low
AB-755_O14,34.74,0,0,0,1,11,Low
AB-755_O19,12.07,1.72,0,0,0,1,Low
AB-755_O23,8.33,0,0,0,0,0,Low
AB-755_P16,37.43,0.66,1,0,1,14,Low
AB-755_P17,43.07,2.07,1,0,0,12,Low
AB-755_P19,24.74,0.22,0,0,0,16,Low
AB-755_P22,63.84,1.02,1,1,1,23,Medium
AC-312_A11,64.08,0,1,0,0,30,Medium
AC-312_A16,13.64,0,1,2,1,4,Low
AC-312_B22,12.5,0,1,1,1,2,Low
AC-312_C09,12.5,0,1,1,1,6,Low
AC-312_C17,4.17,0,1,1,1,19,Low
AC-312_C19,50.73,0,1,0,0,27,Medium
AC-312_D05,6.9,0,0,1,0,4,Low
AC-312_D09,53.71,0,1,1,1,15,Medium
AC-312_D19,32.76,1.72,1,1,1,9,Low
AC-312_D23,51.11,0,0,0,0,13,Medium
AC-312_E03,8.62,0,1,1,1,9,Low
AC-312_E04,27.67,0,1,1,1,25,Low
AC-312_E06,53.32,0,0,0,0,19,Medium
AC-312_E07,27.18,0,0,1,1,9,Low
AC-312_E16,29.01,0,1,1,1,24,Low
AC-312_E17,65.37,0,0,0,1,28,Medium
AC-312_E20,30.83,0,0,0,0,22,Low
AC-312_F05,15.52,0,1,1,1,15,Low
AC-312_F10,51.42,2.56,0,1,0,22,Medium
AC-312_F14,32.76,0,1,0,0,11,Low
AC-312_F15,48.38,0,1,1,1,25,Low
AC-312_F18,68.69,0,1,1,1,26,Medium
AC-312_G02,40.84,1.79,1,1,1,15,Low
AC-312_G03,4.17,4.17,0,0,0,3,Low
AC-312_G04,51.7,0,1,1,1,12,Medium
AC-312_G05,29.21,0,1,0,0,10,Low
AC-312_G09,44.25,1.2,0,0,0,14,Low
AC-312_G14,24.14,0,1,1,1,17,Low
AC-312_G17,40.55,0,1,1,1,13,Low
AC-312_G19,7.02,0,1,1,1,4,Low
AC-312_I04,43.53,1.29,1,0,0,19,Low
AC-312_I05,16.94,0.89,1,1,1,26,Low
AC-312_I16,37.93,1.72,1,1,1,13,Low
AC-312_J04,12.15,0,0,0,0,9,Low
AC-312_J06,17.54,0,0,1,0,31,Low
AC-312_J09,95.39,0,1,0,0,44,Medium
AC-312_J11,26.79,0,1,1,1,7,Low
AC-312_J15,0,0,0,0,0,3,Low
AC-312_J23,42.86,0,1,1,1,16,Low
AC-312_L04,4.67,0.04,1,1,1,8,Low
AC-312_L08,31.71,0,0,0,0,8,Low
AC-312_L19,24.81,0,0,1,1,7,Low
AC-312_M04,14.73,0,1,1,1,12,Low
